PK,NOMBRE,SAME_AS_NOMBRE,DESCRIPCION-ENTIDAD,HORARIO-APERTURA,HORARIO-CIERRE,FESTIVOS,EQUIPAMIENTO,METRO,BUS,RENFE,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,NUM,LOCALIDAD,CODIGO-POSTAL,BARRIO,SAME_AS_BARRIO,DISTRITO,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL
1800,Biblioteca Pública Municipal - Miguel Hernández,https://wikidata.org/entity/Q85684236,,09:00:00,21:00:00,"Días de Cierre: Sábados: 2 de enero; 20 de marzo; 3 de abril; todos los sábados de julio; agosto y septiembre. Domingos: todos; Festivos:1 y 6 de enero; 19 de marzo; 1 y 2 de abril; 1; 3 y 15 mayo; 12 octubre; 1 y 9 de noviembre; 6; 8; 24; 25 y 31 de diciembre.",Wifi gratuito.,Miguel Hernández (línea 1),"144; 10",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=535979262ef5d010VgnVCM1000000b205a0aRCRD,RAFAEL ALBERTI,AVENIDA,36,MADRID,28018,Palomeras Sureste,https://wikidata.org/entity/Q10343901,Puente de Vallecas,4.038.449.423.079.660,-36.429.247.082.087.700,913 033 195,913 804 153,bib.vallecas@madrid.org
1773,Biblioteca Pública Moratalaz - Moratalaz,https://wikidata.org/entity/Q85697877,,09:00:00,21:00:00,"Días de cierre: Sábados: 2 de enero; 20 de marzo; 3 de abril; todos los sábados de julio; agosto y septiembre. Domingos: todos. Festivos: 1 y 6 de enero; 19 de marzo; 1 y 2 de abril; 1; 3 y 15 mayo; 12 octubre; 1 y 9 de noviembre; 6; 8; 24; 25 y 31 de diciembre.",Wifi gratuito,Artilleros (línea 9),"8; 20; 30; 100",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=457e995a8bf5d010VgnVCM2000000c205a0aRCRD,CORREGIDOR ALONSO DE TOBAR,CALLE,5,MADRID,28030,Fontarrón,https://wikidata.org/entity/Q10283284,Moratalaz,40.404.043.531.769.300,-3.649.450.874.958.100,914 394 688,914 370 234,bib.moratalaz@madrid.org
1757,Biblioteca Pública Municipal - Aluche,https://wikidata.org/entity/Q85697879,"La Biblioteca Pública de Aluche se inauguró en junio de 1992 con la asistencia del entonces alcalde D. José María Alvarez del Manzano. Se sitúa en la primera planta del Centro Cultural Fernando de los Ríos; diseñado por el arquitecto José María Guijarro. Desde 1986 y hasta la fecha de su inauguración oficial; se encontraba situada en este mismo centro cultural y planta pero en el ala derecha del edificio y con la mitad de superficie. La ubicación de la biblioteca en el centro cultural en la década de los 80  se decidió porque éste era considerado un elemento aglutinador de la vida asociativa y cultural de los distritos.",08:30:00,21:00:00,Días de cierre: Festivos y los días 24 y 31 de diciembre.,"Normas derivadas de la pandemia del coronavirus:   Es obligatorio el uso de mascarilla en el interior de la biblioteca. Se recomienda aplicar gel hidroalcohólico al entrar en el edificio y en aquellos espacios en los que esté a disposición de los usuarios.   Espacios:   Sala de consulta y lectura. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Préstamo de libros; multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros) Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios: adaptadas a las medidas sanitarias.","Laguna; Casa de Campo; Aluche","25; 31; 138","laguna; aluche",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7f0e3d0b5e71c010VgnVCM1000000b205a0aRCRD,CAMARENA,CALLE,10,MADRID,28047,Aluche,https://wikidata.org/entity/Q31140,Latina,4.039.597.072.367.930,-37.562.716.852.987.800,91 719 89 96,,bpaluche@madrid.es
1755,Ana María Matute Municipal Public Library,https://wikidata.org/entity/Q70135254,"La Biblioteca Pública Municipal Ana María Matute sustituyó a la antigua Biblioteca Pública Municipal de Carabanchel. La Biblioteca de Carabanchel; sita en la calle de los Hermanos del Moral 15; fue inaugurada el 12 de diciembre de 1981 por el entonces alcalde; Enrique Tierno Galván; contaba con unos 250 m&amp;sup2;. Despues de 32 años de servicio; se traslada a su actual emplazamiento bajo el nombre actual. El proyecto arquitectónico fue encargado al estudio RSP. A la inauguración; el 28 de enero de 2013; asistieron la escritora Ana María Matute y la alcaldesa Ana María Botella.",08:30:00,21:00:00,Días de cierre: Festivos y los días 24 y 31 de diciembre.,"Normas derivadas de la pandemia del coronavirus:   Es obligatorio el uso de mascarilla en el interior de la biblioteca. Se recomienda aplicar gel hidroalcohólico al entrar en el edificio y en aquellos espacios en los que esté a disposición de los usuarios.   Espacios:   Sala de consulta y lectura. Sala polivalente. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Préstamo de libros; multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros) Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios: adaptadas a las medidas sanitarias.",Marqués de Vadillo,"34; 35; 50; 118 y 119.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=628e3d0b5e71c010VgnVCM1000000b205a0aRCRD,Isaac Albeniz,CALLE,1,MADRID,28019,San Isidro,https://wikidata.org/entity/Q3813733,Carabanchel,4.039.786.734.087.930,-3.720.088.245.008.890,91 588 08 30,,bpanammatute@madrid.es
1882,Biblioteca Pública Municipal - Benito Pérez Galdós,https://wikidata.org/entity/Q85687528,"La Biblioteca Pública Conde Duque se inaugura en los años 90; cuando se traslada a este edificio la Biblioteca Municipal situada en el actual emplazamiento del Museo de Historia de Madrid; en la calle Fuencarral; separándose la Biblioteca Pública de la Biblioteca Histórica; que habían estado juntas hasta entonces. El Cuartel de Conde Duque se reformó en 2011; obra llevada a cabo por el arquitecto Carlos de Riaño; inaugurándose de nuevo la biblioteca al año siguiente; en un primer momento fusionada con la Biblioteca Musical Víctor Espinós; de la que posteriormente se separaría. Con la reforma ganó en amplitud y homogeneidad con el resto de la red; ya que anteriormente no contaba con sala infantil ni multimedia. En 2019 recibe el nombre de Benito Pérez Galdós conmemorando el centenario del fallecimiento del escritor.",08:30:00,21:00:00,Días de cierre: Festivos y los días 24 y 31 de diciembre.,"Normas derivadas de la pandemia del coronavirus:   Es obligatorio el uso de mascarilla en el interior de la biblioteca. Se recomienda aplicar gel hidroalcohólico al entrar en el edificio y en aquellos espacios en los que esté a disposición de los usuarios.   Espacios:   Sala de consulta y lectura. Zona de publicaciones periódicas. Sala infantil y juvenil.   Servicios:   Préstamo de libros; multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios: adaptadas a las medidas sanitarias.","Ventura Rodríguez; Plaza de España; San Bernardo y Noviciado.","1; 2; 7; 21; 44; 74; 147; circular; minibús m-2",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD,calle del Conde Duque,CALLE,9,MADRID,28015,Universidad,https://wikidata.org/entity/Q10387767,Centro,4.042.738.668.300.470,-37.105.999.955.473.600,91 588 59 10,,bpperezgaldos@madrid.es
1745,Biblioteca Pública Municipal - Canillejas,https://wikidata.org/entity/Q85697890,"La Biblioteca Pública Municipal de Canillejas se inauguró el 4 de agosto de 1981 en la tercera planta del edificio que entonces ocupaba la Junta Municipal del Distrito de San Blas; en la calle Torre Arias. Ocho años después se trasladó al edificio que ocupa hoy; en la calle Boltaña; justo enfrente de su ubicación anterior y en pleno núcleo comercial del barrio de Canillejas. Su reapertura al público; en las nuevas instalaciones; se produjo el 15 de marzo de 1989; compartiendo edificio con el Centro Cultural Buero Vallejo.",08:30:00,21:00:00,Días de cierre: Festivos y los días 24 y 31 de diciembre.,"Normas derivadas de la pandemia del coronavirus:   Es obligatorio el uso de mascarilla en el interior de la biblioteca. Se recomienda aplicar gel hidroalcohólico al entrar en el edificio y en aquellos espacios en los que esté a disposición de los usuarios.   Espacios:   Sala de consulta y lectura. Sala polivalente. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Préstamo de libros; multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios: adaptadas a las medidas sanitarias.","Canillejas; Torre Arias (Línea 5).","77; 105; 140",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb9e995a8bf5d010VgnVCM2000000c205a0aRCRD,BOLTAÑA,CALLE,23,MADRID,28022,Canillejas,https://wikidata.org/entity/Q663013,San Blas,4.044.640.229.188.280,-36.117.933.204.271.000,91 741 11 34,,bpcanillejas@madrid.es
1794,Biblioteca Pública Municipal - Ciudad Lineal,https://wikidata.org/entity/Q85697893,"La Biblioteca de Ciudad Lineal se inauguró en febrero de 1993 asistiendo al acto el Alcalde; José M&amp;ordf; Alvarez del Manzano; y la entonces Concejal de Cultura; Esperanza Aguirre. Se encuentra dentro del Centro Cultural Príncipe de Asturias; en la primera planta. Su construcción se realizó para dar servicio a la zona y sustituir a la anterior biblioteca que había en los locales de un edificio de viviendas. Desde entonces ha sido ampliada tan solo una vez; en 50 m&amp;sup2;; en el año 2004; afectando esta obra a su distribución interna.",08:30:00,21:00:00,Días de cierre: Festivos y los días 24 y 31 de diciembre.,"Normas derivadas de la pandemia del coronavirus:   Es obligatorio el uso de mascarilla en el interior de la biblioteca. Se recomienda aplicar gel hidroalcohólico al entrar en el edificio y en aquellos espacios en los que esté a disposición de los usuarios.   Espacios:   Sala de consulta y lectura. Zona de publicaciones periódicas. Sala infantil y juvenil.   Servicios:   Préstamo de libros; multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios: adaptadas a las medidas sanitarias.",Ciudad Lineal,"4; 38; 48; 70; 77; 105; 109",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=82ce995a8bf5d010VgnVCM2000000c205a0aRCRD,INSTITUCIÓN LIBRE DE ENSEÑANZA (ANTIGUA CALLE HERMANOS GARCÍA NOBLEJAS),AVENIDA,14,MADRID,28037,Pueblo Nuevo,https://wikidata.org/entity/Q71753,Ciudad Lineal,4.043.641.736.294.720,-3.637.346.971.302.500,915 887 566,,bpciudadlineal@madrid.es
1762,Biblioteca Pública Municipal David Gistau,,"La Biblioteca Pública Municipal David Gistau se encuentra dentro del Centro Cultural de Buenavista. El edificio que la alberga fue construido durante la II República por el Ayuntamiento de Madrid para Casa de Baños; según proyecto de José Lorite y reformado por el arquitecto municipal Salvador Pérez Arroyo en 1982. El cambio de función e inauguración como Centro Cívico tuvo lugar el 30 de abril de 1983 y la Biblioteca abrió sus puertas el 12 marzo de 1984. La Biblioteca; ocupa uno de los pabellones que alojaron las piletas de las piscinas y sus vestuarios; en concreto; la zona del vaso destinada al baño de los hombres. En la actualidad esta estructura se observa en la sala de lectura y consulta donde los usuarios adultos se sumergen en sus fondos bibliográficos. El 19 de octubre de 2020 la Biblioteca de Buenavista cambió su nombre por el del periodista y escritor David Gistau.",08:30:00,21:00:00,Días de cierre: Festivos y los días 24 y 31 de diciembre.,"Normas derivadas de la pandemia del coronavirus:   Es obligatorio el uso de mascarilla en el interior de la biblioteca. Se recomienda aplicar gel hidroalcohólico al entrar en el edificio y en aquellos espacios en los que esté a disposición de los usuarios.   Espacios:   Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Préstamo de libros; multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios: adaptadas a las medidas sanitarias.","Diego de León; Manuel Becerra","1; 12; 43; 48; 56; 74; circular",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c53e3d0b5e71c010VgnVCM1000000b205a0aRCRD,"Avenida de los Toreros; Madrid",AVENIDA,5,MADRID,28028,La Guindalera,https://wikidata.org/entity/Q3814559,Salamanca,4.043.199.309.720.510,-3.670.929.243.543.710,91 724 08 04,,bpdavidgistau@madrid.es
51188,Municipal Public Library Dámaso Alonso,https://wikidata.org/entity/Q85685025,"La biblioteca se abrió al público en mayo de 1999 denominándose Biblioteca Mateo Inurria; por estar situada en dicha calle. En 2008; por acuerdo plenario; pasó a llamarse Biblioteca Dámaso Alonso. Y es que este poeta vivió en el número 25 de la calle Alberto Alcocer; en una casita con huerta y jardín situada en su momento a las afueras de Madrid; en Chamartín de la Rosa. En cuanto a los orígenes de la biblioteca; en 1997 la sede del diario Ya se convierte en sede del Barclays Bank. A cambio; la entidad cede una parcela al Ayuntamiento para la construcción de una biblioteca; que entregó ya equipada. En 2008 se amplió el vestíbulo; se instaló un ascensor y se cerró una de las dos escaleras. En su lugar se colocó un lucernario para iluminar la sala de lectura.",08:30:00,21:00:00,Días de cierre: Festivos y los días 24 y 31 de diciembre.,"Normas derivadas de la pandemia del coronavirus:   Es obligatorio el uso de mascarilla en el interior de la biblioteca. Se recomienda aplicar gel hidroalcohólico al entrar en el edificio y en aquellos espacios en los que esté a disposición de los usuarios.   Espacios:   Sala de consulta y lectura. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Préstamo de libros; multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios: adaptadas a las medidas sanitarias.","Plaza de Castilla ; Duque de Pastrana","70; 107; 129; 174",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5870007f8441f010VgnVCM1000000b205a0aRCRD,MANUEL FERRERO,CALLE,1,MADRID,28036,Castilla,https://wikidata.org/entity/Q3813735,Chamartín,40.467.453.379.213.100,-36.846.112.774.442.700,91 350 31 50,,bpdamasoalonso@madrid.es
6893633,Biblioteca Pública Municipal - Eugenio Trías. Casa de Fieras de El Retiro,https://wikidata.org/entity/Q85697904,"La Biblioteca Pública Eugenio Trías-Casa de Fieras de El Retiro fue inaugurada el 29 de abril de 2013. El edificio que alberga la biblioteca fue originariamente parte de las instalaciones que la Casa de Fieras tenía en el Parque de El Retiro; construido en tiempos de Fernando VII. El proyecto para esta nueva biblioteca; promovido  por la entonces Dirección General de Patrimonio Histórico; fue redactado por los arquitectos Jaime Nadal y Sebastián Araujo e incluye la rehabilitación de los dos grandes pabellones de la antigua Casa de Fieras; uno longitudinal de gran dimensión y otro transversal de menor tamaño así como la construcción de un pabellón de nueva planta imprescindible para cumplir con el  programa bibliotecario.",08:30:00,21:00:00,"Días de cierre: Festivos; Semana Santa (de jueves a domingo); el 24 y 31 de diciembre.","Normas derivadas de la pandemia del coronavirus:   Es obligatorio el uso de mascarilla en el interior de la biblioteca. Se recomienda aplicar gel hidroalcohólico al entrar en el edificio y en aquellos espacios en los que esté a disposición de los usuarios.   Espacios:   Sala de consulta y lectura. Sala polivalente; sala especializada en medio ambiente y salas de trabajo en grupo. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Préstamo de libros; multimedia y revistas. Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios: adaptadas a las medidas sanitarias.",Ibiza,"20; 26; 63; 152 y circular",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD,"Calle del Duque de Fernán Núñez; Madrid",PASEO,24,MADRID,28009,Jerónimos,https://wikidata.org/entity/Q10306766,Retiro,404.166.091.081.099,-36.795.930.368.034.800,91 480 48 38,,bpeugeniotrias@madrid.es
167128,Biblioteca Pública Municipal - Francisco Ayala,https://wikidata.org/entity/Q85697910,"La Biblioteca Francisco Ayala está ubicada en el barrio de Valdebernardo; en el distrito de Vicálvaro. Se inauguró en el año 2005. El edificio de dos plantas está situado en el eje que vertebra el barrio; en la planta inferior se situan los servicios de acceso a Internet y préstamo de adultos. En la planta superior se encuentra la sala infantil; la sala de lectura y la sala de actividades.",08:30:00,21:00:00,Días de cierre: Festivos y los días 24 y 31 de diciembre.,"Normas derivadas de la pandemia del coronavirus:   Es obligatorio el uso de mascarilla en el interior de la biblioteca. Se recomienda aplicar gel hidroalcohólico al entrar en el edificio y en aquellos espacios en los que esté a disposición de los usuarios.   Espacios:   Sala de consulta y lectura. Sala polivalente. Zona de publicaciones periódicas. Sala infantil y juvenil.   Servicios:   Préstamo de libros; multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios: adaptadas a las medidas sanitarias.",Valdebernardo,"8; 71; 130",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f05279262ef5d010VgnVCM1000000b205a0aRCRD,INDALECIO PRIETO,BULEVAR,21,MADRID,28032,Valdebernardo,https://wikidata.org/entity/Q43025212,Vicálvaro,4.039.982.891.410.400,-3.621.281.890.570.370,91 301 64 66,,bpfranciscoayala@madrid.es
