PUNTOS WIFI,DIRECCION,LAT,LON
Punto WI-FI. Avenida Finanzauto,Avda. de Finanzauto.,40.304768,-3.468722
Punto WI-FI. Paseo de la Ilusión 3,Paseo de la Ilusión,40.308529,-3.446252
Punto WI-FI. Paseo de la Ilusión 1,Paseo de la Ilusión,40.307743,-3.443291
Punto WI-FI. Paseo de la Ilusión 2,Paseo de la Ilusión,40.309753,-3.443034
Punto WI-FI. Parque González Bueno,"Calle Miralparque, 1",40.302654,-3.444192
Punto WI-FI. Casa del Rey,"Avda. del Ejército, 7",40.301365,-3.443817
Punto WI-FI. Plaza del Progreso,Plaza del Progreso,40.302673,-3.442358
Punto WI-FI. Plaza de los Bienvenida,Plaza de los Bienvenida,40.301159,-3.441612
Punto WI-FI. Plaza de la Constitución,Plaza de la Constitución,40.300797,-3.438169
Punto WI-FI. Plaza Colón,Plaza de Colón,40.297108,-3.431909
Punto WI-FI. Conservatorio de Música,"Calle Mar de Alborán, 1",40.295811,-3.432144
Punto WI-FI. Avenida de Madrid 5,Avda. de Madrid,40.307961,-3.470503
Punto WI-FI. Avenida de Madrid 6,Avda. de Madrid,40.310116,-3.480413
Punto WI-FI. Parque Mirador 2,Calle Carabela,40.296288,-3.434901
Punto WI-FI. Parque Mirador 1,Calle Carabela,40.296238,-3.436682
Punto WI-FI. Parque Goleta,Calle Goleta,40.293652,-3.436403
Punto WI-FI. Escuela Infantil Municipal del Mirador,"Calle Piragua, 2",40.294765,-3.435953
Punto WI-FI. AR30-Hospital,Ctra. AR-30,40.296318,-3.45726
Punto WI-FI. Vía Verde / Calle San Sebastián,Calle San Sebastián,40.306927,-3.453637
Punto WI-FI. Exterior Ciudad Deportiva,Calle San Sebastián,40.306595,-3.4496
Punto WI-FI. Recepción Ciudad Deportiva,Calle San Sebastián,40.307037,-3.449192
Punto WI-FI. Parque El Terrero,Calle Rosa Luxemburgo,40.306335,-3.445673
Punto WI-FI. Parque El Grillero,Avda. del Mediterráneo,40.293224,-3.4284
Punto WI-FI. Ciudad del Fútbol (Club de Fútbol Arganda),Camino del Molino,40.291523,-3.427305
Punto WI-FI. Ciudad del Fútbol (Gradas),Camino del Molino,40.290199,-3.427144
Punto WI-FI. Parque Oeste Los Villares,Calle Álava,40.314991,-3.443098
Punto WI-FI. Metro,"Paseo de la Estación, 37",40.303734,-3.447111
Punto WI-FI. Parque de la Poveda,"Calle Cabo de Palos, 1",40.310852,-3.476787
Punto WI-FI. Polideportivo Virgen del Carmen,"Calle Mallorca, 1",40.31229,-3.475692
Punto WI-FI. Piscina de la Poveda / Entrada Instituto de la Poveda,Calle Monte Potrero,40.313728,-3.475306
Punto WI-FI. Camino San Sebastián,Calle de San Sebastián,40.303162,-3.455629
Punto WI-FI. Parque Siete Vientos,Calle Siete Vientos,40.297474,-3.444536
Punto WI-FI. Avenida de Madrid,Avda. de Madrid,40.304764,-3.4552
Punto WI-FI. Calle Real,Calle Real,40.300243,-3.436602
Punto WI-FI. Calle Real 2,Calle Real,40.299297,-3.434139
Punto WI-FI. Calle Real 3,Calle Real,40.298405,-3.431345
Punto WI-FI. Interior Polideportivo Virgen del Carmen,Calle Mallorca,40.313305,-3.476057
Punto WI-FI. Interior Pabellón Ciudad Deportiva Príncipe Felipe,Calle San Sebastián,40.307369,-3.449537
Punto WI-FI. Interior Casa Rosa,"Avda. del Ejército, 2",40.301216,-3.441716
Punto WI-FI. Interior Casa del Rey,"Avda. del Ejército, 7",40.301331,-3.444087
Punto WI-FI. Interior Ayuntamiento Planta Baja,"Plaza de la Constitución, 1",40.300869,-3.437524
Punto WI-FI. Interior Ayuntamiento Planta 4,"Plaza de la Constitución, 1",40.300735,-3.437573
Punto WI-FI. Calle Carretas 49,"Calle Carretas, 49",40.300304,-3.435809
Punto WI-FI. Calle Solanilla 27,"Calle Solanilla, 27",40.300259,-3.435937
Punto WI-FI. Interior Planta Baja Calle Solanilla 27,"Calle Solanilla, 27",40.300251,-3.435711
Punto WI-FI. Interior Conservatorio Montserrat Caballé,"Calle Mar de Alborán, 1",40.296181,-3.43179
Punto WI-FI. Interior Conservatorio Montserrat Caballé Biblioteca Juventud,"Calle Mar de Alborán, 1",40.295761,-3.431876
Punto WI-FI. Bosque de la Música 2,Calle Presidente Adolfo Suárez,40.295147,-3.44323
Punto WI-FI. Ayuntamiento de Arganda,"Plaza de la Constitución, 1",40.300735,-3.437434
"Punto WI-FI. Centro Deportivo ""Alberto Herreros"". Interior","Ronda del Sur, 43",40.29657,-3.44853
Punto WI-FI. Centro Integrado de la Poveda. Interior,"Calle Formentera, 1",40.313179,-3.478893
Punto WI-FI. Gerencia de Urbanismo. Interior,"Avda. del Cañal, 44",40.309803,-3.474619
