PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,parking,cercanias,bicimad,bus,metro,ACCESIBILIDAD,CONTENT-URL,DIRECCION,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
2067,Museo Africano Misioneros Combonianos,NULL,Grupos con cita previa en el teléfono 914 152 412 o en la web: de lunes a viernes de 9:30 a 13:30 horas.  Individuales: Visitas guiadas sin cita previa los domingos a las 11:30 horas.,NULL,NULL,NULL,11; 70; 114; 122; 115; 200,NULL,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6ab8ef4d7f71c010VgnVCM1000000b205a0aRCRD,CALLE ARTURO SORIA 101 28043 MADRID,SAN JUAN BAUTISTA,CIUDAD LINEAL,444755,4477849,40.449464654033605,-3.65149172790308,914 152 412,NULL,Museos
2050,Museo Arqueológico Nacional,Fundado en 1867  el MAN se inauguró en 1895 en su actual sede  en el Palacio de Biblioteca y Museos  edificio proyectado por Francisco Jareño y terminado por Antonio Ruiz de Salces.,De martes a sábados de 9:30 a 20 horas. Domingos y festivos de 9:30 a 15 horas.   Cerrado   Todos los lunes del año. 1 y 6 de enero; 1 y 15 de mayo;  24; 25 y 31 de diciembre.  Más información horarios,Colón (2) en Plaza de Colón s/n,Recoletos (línea C1; C2; C7; C-10 y Regional)  ,Estación 95 (calle Claudio Coello 109)  ,1; 9; 19; 51; 74; 5; 14; 27; 45; 53; 150  ,Serrano (línea 4)  ,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8fd8ef4d7f71c010VgnVCM1000000b205a0aRCRD,CALLE SERRANO 13 28001 MADRID,RECOLETOS,SALAMANCA,441601,4474966,40.42327763947072,-3.688418705931963,915 777 912,NULL,Museos
2072,Museo Casa de la Moneda,NULL,De martes a viernes ininterrumpidamente de 10 a 20. Sábados; domingos y festivos de 10 a 14:15 horas. Cerrado los lunes (incluidos festivos); y los días 1 de enero;  1 y 2 de mayo;  24; 25 y 31 de diciembre.,NULL,NULL,Estación 101 (calle Jorge Juan 131),143; 2; 30; 56; 71; C2; 28  ,O&amp;acute;Donnell (línea 6) Goya (líneas 2; 4)  ,1.4,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=12f8ef4d7f71c010VgnVCM1000000b205a0aRCRD,CALLE DOCTOR ESQUERDO 36 28028 MADRID,GOYA,SALAMANCA,443235,4474878,40.42259797372905,-3.6691502061733674,915 666 544,museocasadelamoneda@fnmt.es,Museos
4112,Museo Cerralbo,Este Palacio  construido entre 1883 y 1893  fue concebido como vivienda y como museo para sede de las obras de arte reunidas por los Marqueses de Cerralbo y sus hijos  los Marqueses de Villa Huerta  durante los numerosos viajes que realizaron por España y Europa.,De martes a sábado de 9:30 a 15 horas. Jueves; apertura extraordinaria por la tarde; de 17 a 20 horas; excepto festivos. Entrada gratuita. Domingos y festivos de 10 a 15 horas. Cerrado: todos los lunes; 1 y 6 de enero; 1 de mayo; 24; 25 y 31 de diciembre; una fiesta local.,NULL,Príncipe Pio (líneas C1; C7 Y C10),Estación 14 (calle Ventura Rodríguez 2),62; 74,Plaza de España (líneas 3; 10) Príncipe Pío (líneas 6 y 10)  ,2.6,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a4efb0c40971c010VgnVCM1000000b205a0aRCRD,CALLE VENTURA RODRIGUEZ 17 28008 MADRID,ARGUELLES,MONCLOA-ARAVACA,439380,4475039,40.42376732078657,-3.7146170388153497,915 473 646 / 915 473 647,museo.cerralbo@cultura.gob.es,Museos
10091450,Museo EMT,El Museo de la EMT se ha convertido en realidad tras una década de duro trabajo de recuperación  restauración y reparación del patrimonio histórico de la Empresa Municipal de Transportes de Madrid  especialmente  material móvil  mobiliario  piezas mecánicas  maquinaria y otros elementos inherentes a la actividad de la EMT en sus 70 años de historia.,Visitas (con cita previa)  Apertura estacional durante seis meses al año: todos los sábados de abril; mayo; junio; julio; septiembre y octubre); a las 10; a las 11:30 y a las 13 horas. Por ser un centro de trabajo únicamente pueden realizarse de forma organizada; previamente concertadas y limitadas a un máximo de 40 personas por turno. Duración: 60 minutos aproximadamente. Compra de entradas y reserva de horarios a través de la web: http://tienda.emtmadrid.es (a partir del 1 de marzo de 2018).,NULL,NULL,NULL,66; 173; 174; 176; 191; 193; 194; 195; 196; 197; 712; 713; 714; 716; L171,Begoña (línea 10),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d56ad05b2a255510VgnVCM2000001f4a900aRCRD,CALLE MAURICIO LEGENDRE 40 28046 MADRID,CASTILLA,CHAMARTIN,442096,4481278,40.480173612860305,-3.6831595451893273,914 068 810,NULL,OrganismosEmpresasMunicipales
10237457,Museo Félix Cañada,Una selección de más de quinientas obras de arte de entre las cerca de mil de la donación original  constituyen la Colección Permanente que se puede visitar en las salas del Museo Félix Cañada de la Fundación Gómez Pardo  adscrita a la Escuela Técnica Superior de Ingenieros de Minas y Energía de la Universidad Politécnica de Madrid. Donada por el ingeniero de minas Doctor Félix Cañada Guerrero a la Fundación Gómez Pardo  reúne una amplia representación de trabajos de destacados artistas  pintores  escultores  ilustradores  grabadores  orfebres  ceramistas  etc. abarcando diferentes periodos desde el siglo XI hasta nuestros días.,Lunes; miércoles y viernes; de 10 a 13 horas; previa solicitud descargando el impreso en formato PDF y enviarlo cumplimentado a museo@fgomezpardo.es o bien mediante fax al 91 442 95 29. .,NULL,NULL,Estación 130 (calle Santa Engracia 127),45; 12; 149; 3; 37,Rios Rosas (línea 1),3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cb22820a52799510VgnVCM1000001d4a900aRCRD,CALLE ALENZA 1 28003 MADRID,RIOS ROSAS,CHAMBERI,440568,4477117,40.442581673356834,-3.700796192332983,914 417 921,museo@fgomezpardo.es,Museos
2074,Museo Geominero,Los objetivos del Museo Geominero son conservar  investigar y difundir la riqueza y diversidad del patrimonio geológico  paleontológico y mineralógico a través de las importantes colecciones de minerales  rocas y fósiles procedentes de todas las regiones españolas y de antiguos territorios coloniales  así como de yacimientos significados del registro mundial,De lunes a domingo y festivos de 9 a 14 horas. Cerrado los días 1 y 6 de enero y 24; 25 y 31 de diciembre.,NULL,NULL,Estación 130 (calle Santa Engracia 127),45; 12; 149; 3; 37; 5,Ríos Rosas (línea 1) y Alonso Cano (línea 7),3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ff0bef4d7f71c010VgnVCM1000000b205a0aRCRD,CALLE RIOS ROSAS 23 28003 MADRID,RIOS ROSAS,CHAMBERI,440663,4477057,40.442047952073665,-3.699670468881422,913 495 759,m.geominero@igme.es,Museos
2075,Museo Histórico Minero Don Felipe de Borbón y Grecia,Ubicado en la Escuela Técnica Superior de Ingenieros de Minas de Madrid,De lunes a viernes; de 9 a 14 horas.,NULL,NULL,Estación 130 (calle Santa Engracia 127),3; 12; 37; 45; 149  ,Ríos Rosas (línea 1)  ,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=822bef4d7f71c010VgnVCM1000000b205a0aRCRD,CALLE RIOS ROSAS 21 28003 MADRID,RIOS ROSAS,CHAMBERI,440603,4477062,40.44207963042673,-3.7003900716027776,913 367 017,NULL,Museos
18176,Museo ICO,NULL,De martes a sábados: de 11 a 20 horas.   Domingos y festivos: de 10 a 14 horas.    Cerrado: Todos los lunes del año.   Horarios especiales: 24 y 31 de diciembre de 10 a 14 horas. 1 de mayo y 25 de diciembre cerrado.,NULL,NULL,estación 28 (calle Alcalá 27),53; 15; 20; M1; 150; 5; 46; 52,Sevilla (línea 2),1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2886444a2951c010VgnVCM2000000c205a0aRCRD,CALLE ZORRILLA 3 28014 MADRID,CORTES,CENTRO,440806,4474249,40.41675330128869,-3.6977346235068373,914 201 242,museoico@ico.es,Museos
6019032,Museo Los Caños del Peral. Estación de Metro Ópera,La estación de Ópera cuenta con el mayor museo arqueológico bajo tierra de Madrid  un espacio de 200 m2 donde se pueden ver restos arqueológicos de los siglos XVI y XVII pertenecientes a la Fuente de los Caños del Peral  el Acueducto de Amaniel y la Alcantarilla del Arenal.,Previa reserva en la página museosmetromadrid.es.  Viernes: de 16:00 a 20:00 horas. Sábados: de 10:00 a 14:00 horas y de 16:00 a 20:00 horas. Domingos: de 10:00 a 14:00 horas.,Descalzas (20) en plaza Descalzas y plaza San Martín,NULL,Estación 24 (calle Carlos III 1),NULL,Ópera (líneas 2; 5 y Ramal),1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=435950262d50f210VgnVCM2000000c205a0aRCRD,PLAZA ISABEL II 1 28013 MADRID,PALACIO,CENTRO,439834,4474367,40.41775560280743,-3.709202070089538,NULL,NULL,Museos
2053,Museo Lázaro Galdiano,NULL,Martes a domingo; de 9:30 a 15 horas. Lunes cerrado.,NULL,NULL,NULL,12; 16; 9; 19; 51; 61,Gregorio Marañón (línea 7 y 10)  ,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d1aef4d7f71c010VgnVCM1000000b205a0aRCRD,CALLE SERRANO 122 28006 MADRID,CASTELLANA,SALAMANCA,441802,4476460,40.436750328725985,-3.6861980129207894,915 616 084,NULL,MonumentosEdificiosArtisticos
5349304,Museo Nacional Centro de Arte Reina Sofía (MNCARS),Edificio Sabatini: calle Santa Isabel 52.  Edificio Nouvel (ampliación): ronda de Atocha  esquina a plaza del Emperador Carlos V.  Espacios en el parque del Retiro: Palacio de Velázquez y Palacio de Cristal.,Lunes y de miércoles a sábado; de 10 a 20 horas. Martes cerrado (incluso festivos). Domingos de 10 a 14:30 horas.  Cerrado: 1 y 6 enero; 1 y 15 mayo; 9 noviembre; 24; 25 y 31 diciembre.,Sánchez ,Atocha (líneas C1; C2; C3; C4; C5; C7; C8; C10)  ,Estación 50 (calle Santa Isabel 57) / Estación 51 (Ronda de Atocha 2)  ,27; 34; C03; C1; 26; 32; 6; 59; 85; E1; C2; 119; 36; 41; 001; 10; 14; 37; 45  ,Estación del Arte (Atocha) (línea 1)  ,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=69d8275bad5a1210VgnVCM2000000c205a0aRCRD,CALLE SANTA ISABEL 52 28012 MADRID,EMBAJADORES,CENTRO,441112,4473334,40.40854131574014,-3.6940316511856017,917 741 000 / 917 911 330 (Centro atención visitante),museoreinasofia@clorian.com,Museos
2099,Museo Nacional Thyssen-Bornemisza,El palacio donde se ubica la colección fue el antiguo palacio del duque de Villahermosa. Edificación neoclásica. Posteriormente se adapta como entidad bancaria perdiento sus espacios interiores. Más tarde  pasó a formar parte de los edificios del Museo del Prado. Desde principios de los 90 alberga la Colección Thyssen. El museo ofrece un recorrido por la historia de la pintura europea desde sus inicios en el siglo XIII  hasta finales del siglo XX.Arquitecto: Antonio López Aguado (1805 - 1806)  Adecuación: Rafael Moneo (1989 - 1992)  Ampliación: BOPBAA (1999 - 2004),Colecciones permanentes:  lunes de 12 a 16 horas (acceso gratuito gracias al patrocinio de MasterCard). Martes a domingos de 10 a 19 horas.   Exposiciones temporales: consultar horario específico en Museo.  Avisos y aperturas extraordinarias: los días 1 de enero; 1 de mayo y 25 de diciembre el Museo permanecerá cerrado. El 24 y el 31 de diciembre el horario de apertura del Museo será de 10 a 15 horas.,Cortes (46) en Plaza de las Cortes,Recoletos  ,Estación 27 (calle Jesús 1) / Estación 29 (calle Marqués de Cubas 25)  ,10; 14; 27; 34; 37; 45; C03  ,Banco de España (línea 2)  ,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b8079262ef5d010VgnVCM1000000b205a0aRCRD,PASEO PRADO 8 28014 MADRID,CORTES,CENTRO,441058,4474164,40.41600553697803,-3.694744831131079,917 911 370,cav@museothyssen.org,MonumentosEdificiosArtisticos
2057,Museo Nacional de Antropología,El Museo está instalado en el edificio de estilo clasicista construido por el Marqués de Cubas en 1875 por encargo del Doctor González Velasco  fundador de la institución.,De martes a sábado de 9:30 a 20 horas. Domingos: de 10 a 15 horas. Cerrado todos los lunes del año y los días 1 y 6 de enero; 1 de mayo; 24; 25 y 31 de diciembre y un festivo local. La taquilla se cerrará 15 minutos antes del cierre.,NULL,Atocha (líneas C1; C2; C3; C4; C5; C7; C8; C10),Estación 80 a y b (paseo Infanta Isabel 3),19;  C1; 10; 14; 26; 32; 102; 37; 59; 001; C2; 203; 85; 141,Estación del Arte (línea 1),1.6,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=456079262ef5d010VgnVCM1000000b205a0aRCRD,CALLE ALFONSO XII 68 28014 MADRID,LOS JERONIMOS,RETIRO,441550,4473258,40.407887537677716,-3.688862923660605,915 306 418 / 915 395 995,antropologico@cultura.gob.es,Museos
2055,Museo Nacional de Artes Decorativas,Inaugurado en 1912  su sede es un típico palacete madrileño del último tercio del siglo XIX. El museo posee muebles  cerámicas  vidrios  joyas  tejidos  arte oriental  y hasta 30 000 objetos distintos que a lo largo de la historia han servido para embellecer las casas  palacios y los monumentos de distintas culturas. El museo posee muestras como el Jarrón de Sevres regalo de Napoleón III  la Cocina Valenciana del siglo XVIII compuesta por más de 1500 azulejos de Manises  la Mesa de plata del siglo XVI o la colección de alfombras españolas de los siglos XV al XVII.El Museo dispone de una rampa de acceso al edificio en la calle Montalbán. Para su uso  es necesario avisar con antelación al personal del Museo.El acceso a las diferentes plantas  puede realizarse mediante ascensor. Debido a las dimensiones del mismo  es necesario emplear en él las sillas de ruedas que el Museo pone a su disposición  previa solicitud.,Martes a sábados de 9:30 a 15 horas. Domingo y festivos: de 10 a 15 horas. Jueves tarde de 17 a 20 horas (excepto julio y agosto).  Cerrado:  todos los lunes; 1 y 6 de enero; 1 y 15 de mayo; 24; 25 y 31 de diciembre.    La venta de entradas finalizará 30 minutos antes del cierre.,Montalbán (49) en C/ Montalbán (entre C/ Alfonso XI y P&amp;ordm; Prado),Recoletos (líneas C1; C2; C7; C8 Y C10),Estaciones 65 (calle Antonio Maura 15) y 60 (plaza de la Independencia 6),19; 1; 146; 15; 2; 20; 51; 52; 74; 9; E1; 203; 14; 27; 37; 45,Retiro (línea 2),2.6,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=287079262ef5d010VgnVCM1000000b205a0aRCRD,CALLE MONTALBAN 12 28014 MADRID,LOS JERONIMOS,RETIRO,441483,4474369,40.417891279015194,-3.689754685481908,915 326 499 / 915 326 845 / 910 505 755 (Reserva actividades infantiles) / 910 505 768 (Biblioteca) / 910 505 763 (Atención a investigadores),mnad@cultura.gob.es,MonumentosEdificiosArtisticos
2056,Museo Nacional de Ciencias Naturales,NULL,De martes a viernes de 10 a 17 horas. Sábados; domingos y festivos de 10 a 20 horas. Agosto;de 10 a 15 horas. Cerrado los lunes (excepto los festivos). Cerrado el 1 y 6 de enero; el 1 de mayo y el 25 de diciembre. Los días 24 y 31 de diciembre el museo permanecerá abierto de 10 a 15 horas.,NULL,NULL,Estación 139 (Calle José Gutiérrez Abascal 2),12; 45; 14; 147; 150; 27; 40; 7,Gregorio Marañón (líneas 7; 10),1.6,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8edbef4d7f71c010VgnVCM1000000b205a0aRCRD,CALLE JOSE GUTIERREZ ABASCAL 2 28006 MADRID,EL VISO,CHAMARTIN,441463,4476870,40.44042007613476,-3.690220716379925,NULL,NULL,MonumentosEdificiosArtisticos
